group,product,vcoord,line,file,dims,n_vars,vars,time_start,time_end,n_time,title,time_coverage
lt,anomaly,sigma,80,lt_anomaly_sigma_80.nc,time=777; potential_density=21; distance=74,9,depth; temperature; salinity; chlorophyll_a; sigma_t; potential_temperature; geostrophic_velocity; doppler_velocity_along; doppler_velocity_across,2006-01-01,2026-12-27,777.0,Interannual Anomaly for CUGN Line 80 on Potential Density,2006-01-01T00:00:00Z to 2026-12-27T00:00:00Z
lt,anomaly,sigma,90,lt_anomaly_sigma_90.nc,time=777; potential_density=21; distance=107,9,depth; temperature; salinity; chlorophyll_a; sigma_t; potential_temperature; geostrophic_velocity; doppler_velocity_along; doppler_velocity_across,2006-01-01,2026-12-27,777.0,Interannual Anomaly for CUGN Line 90 on Potential Density,2006-01-01T00:00:00Z to 2026-12-27T00:00:00Z
lt,mean_annual_cycle,depth,66,lt_mean_annual_cycle_depth_66.nc,time=365; depth=50; distance=81,9,temperature; salinity; chlorophyll_a; sigma_t; potential_density; potential_temperature; geostrophic_velocity; doppler_velocity_along; doppler_velocity_across,2007-01-10,2008-01-09,365.0,Annual Cycle for CUGN Line 66,2008-01-01T00:00:00Z to 2014-01-01T00:00:00Z
lt,mean_annual_cycle,depth,80,lt_mean_annual_cycle_depth_80.nc,time=365; depth=50; distance=74,9,temperature; salinity; chlorophyll_a; sigma_t; potential_density; potential_temperature; geostrophic_velocity; doppler_velocity_along; doppler_velocity_across,2007-01-10,2008-01-09,365.0,Annual Cycle for CUGN Line 80,2007-01-01T00:00:00Z to 2014-01-01T00:00:00Z
lt,mean_annual_cycle,depth,90,lt_mean_annual_cycle_depth_90.nc,time=365; depth=50; distance=107,9,temperature; salinity; chlorophyll_a; sigma_t; potential_density; potential_temperature; geostrophic_velocity; doppler_velocity_along; doppler_velocity_across,2007-01-10,2008-01-09,365.0,Annual Cycle for CUGN Line 90,2007-01-01T00:00:00Z to 2014-01-01T00:00:00Z
lt,mean_annual_cycle,sigma,66,lt_mean_annual_cycle_sigma_66.nc,time=365; potential_density=21; distance=81; depth=21,8,temperature; salinity; chlorophyll_a; sigma_t; potential_temperature; geostrophic_velocity; doppler_velocity_along; doppler_velocity_across,2007-01-10,2008-01-09,365.0,Annual Cycle for CUGN Line 66 on Potential Density,2008-01-01T00:00:00Z to 2014-01-01T00:00:00Z
lt,mean_annual_cycle,sigma,80,lt_mean_annual_cycle_sigma_80.nc,time=365; potential_density=21; distance=74; depth=21,8,temperature; salinity; chlorophyll_a; sigma_t; potential_temperature; geostrophic_velocity; doppler_velocity_along; doppler_velocity_across,2007-01-10,2008-01-09,365.0,Annual Cycle for CUGN Line 80 on Potential Density,2007-01-01T00:00:00Z to 2014-01-01T00:00:00Z
lt,mean_annual_cycle,sigma,90,lt_mean_annual_cycle_sigma_90.nc,time=365; potential_density=21; distance=107; depth=21,8,temperature; salinity; chlorophyll_a; sigma_t; potential_temperature; geostrophic_velocity; doppler_velocity_along; doppler_velocity_across,2007-01-10,2008-01-09,365.0,Annual Cycle for CUGN Line 90 on Potential Density,2007-01-01T00:00:00Z to 2014-01-01T00:00:00Z
lt,mean,depth,66,lt_mean_depth_66.nc,depth=50; distance=81,9,temperature; salinity; chlorophyll_a; sigma_t; potential_density; potential_temperature; geostrophic_velocity; doppler_velocity_along; doppler_velocity_across,,,,Mean for CUGN Line 66,2008-01-01T00:00:00Z to 2014-01-01T00:00:00Z
lt,mean,depth,80,lt_mean_depth_80.nc,depth=50; distance=74,9,temperature; salinity; chlorophyll_a; sigma_t; potential_density; potential_temperature; geostrophic_velocity; doppler_velocity_along; doppler_velocity_across,,,,Mean for CUGN Line 80,2007-01-01T00:00:00Z to 2014-01-01T00:00:00Z
lt,mean,depth,90,lt_mean_depth_90.nc,depth=50; distance=107,9,temperature; salinity; chlorophyll_a; sigma_t; potential_density; potential_temperature; geostrophic_velocity; doppler_velocity_along; doppler_velocity_across,,,,Mean for CUGN Line 90,2007-01-01T00:00:00Z to 2014-01-01T00:00:00Z
lt,mean,sigma,66,lt_mean_sigma_66.nc,potential_density=21; distance=81,7,temperature; salinity; potential_temperature; sigma_t; geostrophic_velocity; doppler_velocity_along; doppler_velocity_across,,,,Mean for CUGN Line 66 on Potential Density,2008-01-01T00:00:00Z to 2014-01-01T00:00:00Z
lt,mean,sigma,80,lt_mean_sigma_80.nc,potential_density=21; distance=74,7,temperature; salinity; potential_temperature; sigma_t; geostrophic_velocity; doppler_velocity_along; doppler_velocity_across,,,,Mean for CUGN Line 80 on Potential Density,2007-01-01T00:00:00Z to 2014-01-01T00:00:00Z
lt,mean,sigma,90,lt_mean_sigma_90.nc,potential_density=21; distance=107,7,temperature; salinity; potential_temperature; sigma_t; geostrophic_velocity; doppler_velocity_along; doppler_velocity_across,,,,Mean for CUGN Line 90 on Potential Density,2007-01-01T00:00:00Z to 2014-01-01T00:00:00Z
lt,total,depth,66,lt_total_depth_66.nc,time=740; depth=50; distance=81,8,temperature; salinity; chlorophyll_a; sigma_t; potential_temperature; geostrophic_velocity; doppler_velocity_along; doppler_velocity_across,2007-01-01,2026-12-27,740.0,Total for CUGN Line 66,2007-01-01T00:00:00Z to 2026-12-27T00:00:00Z
lt,total,depth,80,lt_total_depth_80.nc,time=777; depth=50; distance=74,8,temperature; salinity; chlorophyll_a; sigma_t; potential_temperature; geostrophic_velocity; doppler_velocity_along; doppler_velocity_across,2006-01-01,2026-12-27,777.0,Total for CUGN Line 80,2006-01-01T00:00:00Z to 2026-12-27T00:00:00Z
lt,total,depth,90,lt_total_depth_90.nc,time=777; depth=50; distance=107,8,temperature; salinity; chlorophyll_a; sigma_t; potential_temperature; geostrophic_velocity; doppler_velocity_along; doppler_velocity_across,2006-01-01,2026-12-27,777.0,Total for CUGN Line 90,2006-01-01T00:00:00Z to 2026-12-27T00:00:00Z
lt,total,sigma,66,lt_total_sigma_66.nc,time=740; potential_density=21; distance=81,8,temperature; salinity; chlorophyll_a; sigma_t; potential_temperature; geostrophic_velocity; doppler_velocity_along; doppler_velocity_across,2007-01-01,2026-12-27,740.0,total for CUGN Line 66 on Potential Density,2007-01-01T00:00:00Z to 2026-12-27T00:00:00Z
lt,total,sigma,80,lt_total_sigma_80.nc,time=777; potential_density=21; distance=74,8,temperature; salinity; chlorophyll_a; sigma_t; potential_temperature; geostrophic_velocity; doppler_velocity_along; doppler_velocity_across,2006-01-01,2026-12-27,777.0,total for CUGN Line 80 on Potential Density,2006-01-01T00:00:00Z to 2026-12-27T00:00:00Z
lt,total,sigma,90,lt_total_sigma_90.nc,time=777; potential_density=21; distance=107,8,temperature; salinity; chlorophyll_a; sigma_t; potential_temperature; geostrophic_velocity; doppler_velocity_along; doppler_velocity_across,2006-01-01,2026-12-27,777.0,total for CUGN Line 90 on Potential Density,2006-01-01T00:00:00Z to 2026-12-27T00:00:00Z
st,annual_cycle,depth,56,st_annual_cycle_depth_56.nc,time=365; depth=50; distance=61,10,temperature; salinity; chlorophyll_a; sigma_t; potential_temperature; geostrophic_velocity; doppler_velocity_along; doppler_velocity_across; acoustic_backscatter; doxy,1167609600,1199059200,365.0,Annual Anomaly for CUGN Line 56,2020-01-01T00:00:00Z to 2025-01-01T00:00:00Z
st,annual_cycle,depth,66,st_annual_cycle_depth_66.nc,time=365; depth=50; distance=81,10,temperature; salinity; chlorophyll_a; sigma_t; potential_temperature; geostrophic_velocity; doppler_velocity_along; doppler_velocity_across; acoustic_backscatter; doxy,1167609600,1199059200,365.0,Annual Anomaly for CUGN Line 66,2017-01-01T00:00:00Z to 2025-01-01T00:00:00Z
st,annual_cycle,depth,80,st_annual_cycle_depth_80.nc,time=365; depth=50; distance=74,10,temperature; salinity; chlorophyll_a; sigma_t; potential_temperature; geostrophic_velocity; doppler_velocity_along; doppler_velocity_across; acoustic_backscatter; doxy,1167609600,1199059200,365.0,Annual Anomaly for CUGN Line 80,2017-01-01T00:00:00Z to 2025-01-01T00:00:00Z
st,annual_cycle,depth,90,st_annual_cycle_depth_90.nc,time=365; depth=50; distance=107,10,temperature; salinity; chlorophyll_a; sigma_t; potential_temperature; geostrophic_velocity; doppler_velocity_along; doppler_velocity_across; acoustic_backscatter; doxy,1167609600,1199059200,365.0,Annual Anomaly for CUGN Line 90,2017-01-01T00:00:00Z to 2025-01-01T00:00:00Z
st,annual_cycle,depth,al,st_annual_cycle_depth_al.nc,time=365; depth=50; distance=45,10,temperature; salinity; chlorophyll_a; sigma_t; potential_temperature; geostrophic_velocity; doppler_velocity_along; doppler_velocity_across; acoustic_backscatter; doxy,1167609600,1199059200,365.0,Annual Anomaly for CUGN Alongshore Line,2019-01-01T00:00:00Z to 2025-01-01T00:00:00Z
st,annual_cycle,sigma,56,st_annual_cycle_sigma_56.nc,time=365; potential_density=21; distance=61,11,temperature; salinity; chlorophyll_a; sigma_t; potential_temperature; geostrophic_velocity; doppler_velocity_along; doppler_velocity_across; acoustic_backscatter; doxy; depth,2007-01-01,2007-12-31,365.0,Annual Anomaly for CUGN Line 56 on Potential Density,2020-01-01T00:00:00Z to 2025-01-01T00:00:00Z
st,annual_cycle,sigma,66,st_annual_cycle_sigma_66.nc,time=365; potential_density=21; distance=81,11,temperature; salinity; chlorophyll_a; sigma_t; potential_temperature; geostrophic_velocity; doppler_velocity_along; doppler_velocity_across; acoustic_backscatter; doxy; depth,2007-01-01,2007-12-31,365.0,Annual Anomaly for CUGN Line 66 on Potential Density,2017-01-01T00:00:00Z to 2025-01-01T00:00:00Z
